filename,slug,quiz_type,mode,question_count,has_explanations,status,warnings
level1_sci_birds.html,sci-birds,mcq,,99,yes,ok,0 warning(s)
level1_sci_body_parts.html,sci-body-parts,mcq,,100,yes,ok,0 warning(s)
level1_sci_critical_thinking1.html,sci-critical-thinking1,mcq,,110,yes,ok,0 warning(s)
level1_sci_critical_thinking2.html,sci-critical-thinking2,mcq,,100,yes,ok,0 warning(s)
level1_sci_critical_thinking3.html,sci-critical-thinking3,mcq,,102,yes,ok,0 warning(s)
level1_sci_critical_thinking4.html,sci-critical-thinking4,mcq,,101,yes,ok,0 warning(s)
level1_sci_definitions1.html,sci-definitions1,mcq,,100,yes,ok,0 warning(s)
level1_sci_forest.html,sci-forest,mcq,,100,yes,ok,0 warning(s)
level1_sci_habitats_animals.html,sci-habitats-animals,mcq,,101,yes,ok,0 warning(s)
level1_sci_insects.html,sci-insects,mcq,,100,yes,ok,0 warning(s)
level1_sci_living&non.html,sci-living-non,mcq,,100,yes,warning,1 warning(s)
level1_sci_marineanimas.html,sci-marineanimas,mcq,,100,yes,ok,0 warning(s)
level1_sci_organs.html,sci-organs,mcq,,100,yes,ok,0 warning(s)
level1_sci_planets.html,sci-planets,mcq,,100,yes,ok,0 warning(s)
level1_sci_plants.html,sci-plants,mcq,,100,yes,ok,0 warning(s)
level1_sci_stateofmatter.html,sci-stateofmatter,mcq,,101,yes,ok,0 warning(s)
level1_sci_universe.html,sci-universe,mcq,,100,yes,ok,0 warning(s)
level1_sci_weather.html,sci-weather,mcq,,100,yes,ok,0 warning(s)
level1_gk_animals.html,gk-animals,mcq,,100,yes,ok,0 warning(s)
level1_gk_colours.html,gk-colours,mcq,,100,yes,ok,0 warning(s)
level1_gk_days_months.html,gk-days-months,mcq,,100,yes,ok,0 warning(s)
level1_gk_fruits_veg.html,gk-fruits-veg,mcq,,100,yes,ok,0 warning(s)
level1_gk_l1.html,gk-l1,mcq,,100,yes,ok,0 warning(s)
level1_gk_l10.html,gk-l10,mcq,,100,yes,ok,0 warning(s)
